Qanat ID,Qanats Names,Season,E. coli (MPN/100 mL),EC (µS/cm),pH,Water temperature (?),Date
1,Ebrahim Abad,wet,11000,1200,7.25,17,5/6/2024 15:30
,,dry,4300,1160,7.42,13,11/15/2024 10:53
2,Mazd Abad,wet,460,950,7.06,15,5/7/2024 14:30
,,dry,42,1080,7.4,12.9,11/15/2024 13:40
3,Vazvan,wet,3,2650,6.5,17,5/29/2024 16:45
,,dry,74,2480,7.3,13.9,11/15/2024 14:24
4,Moon (upper),wet,75,3440,8,21,5/8/2024 15:15
,,dry,9.2,3470,7.5,19,11/15/2024 16:58
,Moon (lower),wet,9.2,2980,6.5,20,5/8/2024 20:15
,,dry,3.6,3270,7.6,21.3,11/15/2024 17:08
5,Hasan Abad,wet,0,300,7.5,19.7,5/15/2024 11:00
,,dry,94,349,6.28,17.3,11/16/2024 17:00
6,Zarch,wet,*excluded due to dryness,,,,
,,dry,*excluded due to dryness,,,,
7,Qasabeh,wet,43,1610,8.1,24,6/9/2024 10:50
,,dry,3,1788,8.12,25,12/3/2024 11:04
8,Baladeh,wet,75,888,7.83,18,6/10/2024 18:30
,,dry,36,1112,8.18,10.8,12/3/2024 10:18
9,Gowhar-riz,wet,3759,264,6.33,19,6/12/2024 15:40
,,dry,150,238,8.26,15.7,11/27/2024 11:20
10,Qasem Abad,wet,3759,1970,7.4,22,6/12/2024 19:15
,,dry,9,1469,7.62,22,11/27/2024 13:35
11,Akbar Abad,wet,3759,1340,7.35,22,6/12/2024 19:15
,,dry,75,1309,7.82,22,11/27/2024 13:35
